"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C16_M3","CAPC1005X60N","4552.378mil","318.897mil","4552.378mil","318.898mil","4552.378mil","338.583mil","B","270.00","0.1uF"
"C18_M0","CAPC1608X95N","367mil","673.228mil","367mil","673.228mil","394.559mil","673.228mil","B","180.00","2.2uF"
"C18_M1","CAPC1608X95N","1661mil","673mil","1661mil","673mil","1688.559mil","673mil","B","180.00","2.2uF"
"C18_M2","CAPC1608X95N","2965mil","687mil","2965mil","687mil","2992.559mil","687mil","B","180.00","2.2uF"
"C18_M3","CAPC1608X95N","4259mil","673.229mil","4259mil","673.229mil","4286.559mil","673.229mil","B","180.00","2.2uF"
"C19_M0","CAPC1608X95N","946.244mil","674mil","946.244mil","674mil","918.685mil","674mil","B","360.00","2.2uF"
"C19_M1","CAPC1608X95N","2248mil","674mil","2248mil","674mil","2220.441mil","674mil","B","360.00","2.2uF"
"C19_M2","CAPC1608X95N","3545mil","673mil","3545mil","673mil","3517.441mil","673mil","B","360.00","2.2uF"
"C19_M3","CAPC1608X95N","4847.283mil","673mil","4847.283mil","673mil","4819.724mil","673mil","B","360.00","2.2uF"
"C20_M0","CAPC1608X95N","366mil","280mil","366mil","280mil","393.559mil","280mil","B","180.00","2.2uF"
"C20_M1","CAPC1608X95N","1757mil","236mil","1757mil","236mil","1729.441mil","236mil","B","360.00","2.2uF"
"C20_M2","CAPC1608X95N","3055.835mil","237.376mil","3055.835mil","237.376mil","3028.276mil","237.376mil","B","360.00","2.2uF"
"C20_M3","CAPC1608X95N","4341mil","238mil","4341mil","238mil","4313.441mil","238mil","B","360.00","2.2uF"
"C21_M0","CAPC1608X95N","402mil","445mil","402mil","445mil","402mil","472.559mil","B","270.00","2.2uF"
"C21_M1","CAPC1608X95N","1666mil","522mil","1666mil","522mil","1693.559mil","522mil","B","180.00","2.2uF"
"C21_M2","CAPC1608X95N","2966mil","514mil","2966mil","514mil","2993.559mil","514mil","B","180.00","2.2uF"
"C21_M3","CAPC1608X95N","4248mil","517mil","4248mil","517mil","4275.559mil","517mil","B","180.00","2.2uF"
"R1","RESC1005X40AN","243mil","195mil","243mil","195mil","243mil","214.685mil","B","270.00","15R"
"R2","RESC1005X40AN","241mil","193mil","241mil","193mil","241mil","173.315mil","T","90.00","15R"
"R5","RESC1005X40AN","282mil","195mil","282mil","195mil","282mil","214.685mil","B","270.00","15R"
"R6","RESC1005X40AN","303mil","173mil","303mil","173mil","322.685mil","173mil","T","180.00","15R"
"R9","RESC1005X40AN","478.74mil","194.882mil","478.74mil","194.882mil","478.74mil","214.567mil","B","270.00","15R"
"R18","RESC1005X40AN","519.291mil","194.882mil","519.291mil","194.882mil","519.291mil","214.567mil","B","270.00","15R"
"R10","RESC1005X40AN","530mil","173mil","530mil","173mil","510.315mil","173mil","T","360.00","15R"
"R14","RESC1005X40AN","4472mil","173mil","4472mil","173mil","4491.685mil","173mil","T","180.00","15R"
"R67","RESC1005X40AN","4180mil","195mil","4180mil","195mil","4180mil","214.685mil","B","270.00","15R"
"R69","RESC1005X40AN","4220mil","195mil","4220mil","195mil","4220mil","214.685mil","B","270.00","15R"
"R22","RESC1005X40AN","994.921mil","173.11mil","994.921mil","173.11mil","1014.606mil","173.11mil","B","180.00","15R"
"R23","RESC1005X40AN","964mil","173mil","964mil","173mil","944.315mil","173mil","T","360.00","15R"
"R73","RESC1005X40AN","4413mil","195mil","4413mil","195mil","4413mil","214.685mil","B","270.00","15R"
"R74","RESC1005X40AN","4452mil","195mil","4452mil","195mil","4452mil","214.685mil","B","270.00","15R"
"U1_M0","BGA100P1800X1400X110-152N","654.74mil","476.378mil","654.74mil","476.378mil","339.779mil","240.157mil","T","90.00","TBD"
"U1_M1","BGA100P1800X1400X110-152N","1953.953mil","476.378mil","1953.953mil","476.378mil","1638.992mil","240.157mil","T","90.00","TBD"
"U1_M2","BGA100P1800X1400X110-152N","3252.165mil","476.378mil","3252.165mil","476.378mil","2937.205mil","240.157mil","T","90.00","TBD"
"U1_M3","BGA100P1800X1400X110-152N","4552.378mil","476.378mil","4552.378mil","476.378mil","4237.417mil","240.157mil","T","90.00","TBD"
"R4","RESC1005X40AN","3287mil","707.835mil","3287mil","707.835mil","3287mil","727.52mil","B","270.00","2.2K"
"R13","RESC1005X40AN","4586.984mil","707.835mil","4586.984mil","707.835mil","4586.984mil","727.52mil","B","270.00","2.2K"
"C22","CAPC2012X145N","217mil","621.457mil","217mil","621.457mil","252.433mil","621.457mil","B","180.00","10uF"
"C23","CAPC2012X145N","217mil","463.976mil","217mil","463.976mil","252.433mil","463.976mil","B","180.00","10uF"
"L1","INDC1005X60N","252.433mil","542.717mil","252.433mil","542.717mil","252.433mil","562.402mil","B","270.00","220R@100MHz"
"L2","INDC1005X60N","181.567mil","542.717mil","181.567mil","542.717mil","181.567mil","562.402mil","B","270.00","220R@100MHz"
"R85","RESC1005X40AN","2646mil","228mil","2646mil","228mil","2646mil","208.315mil","T","90.00","2.2K"
"R86","RESC1005X40AN","2564mil","308mil","2564mil","308mil","2564mil","327.685mil","T","270.00","2.2K"
"R87","RESC1005X40AN","2605mil","308mil","2605mil","308mil","2605mil","327.685mil","T","270.00","2.2K"
"C25_M0","CAPC1608X95N","1044mil","526mil","1044mil","526mil","1044mil","498.441mil","T","90.00","2.2uF"
"C25_M1","CAPC1608X95N","2231mil","463mil","2231mil","463mil","2231mil","435.441mil","B","90.00","2.2uF"
"C25_M2","CAPC1608X95N","3515mil","465mil","3515mil","465mil","3515mil","437.441mil","B","90.00","2.2uF"
"C25_M3","CAPC1608X95N","4812mil","410.291mil","4812mil","410.291mil","4812mil","437.851mil","B","270.00","2.2uF"

